time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
2025-08-01T12:45:00+00:00,sell,1.1399,1.14013,1.1392,0.00016,3.0,2.0,6.0,106.0,TP
2025-08-04T10:19:00+00:00,sell,1.15608,1.15658,1.15458,0.00033,0.0,2.12,0.0,106.0,BE
2025-08-07T07:03:00+00:00,buy,1.1667,1.16653,1.1672,0.00011,3.0,2.12,6.36,112.36,TP
2025-08-07T07:26:00+00:00,buy,1.16734,1.16716,1.16789,0.00012,3.0,2.25,6.74,119.1,TP
2025-08-12T07:51:00+00:00,buy,1.16254,1.16238,1.16302,0.00011,0.0,2.38,0.0,119.1,BE
2025-08-12T15:30:00+00:00,buy,1.16271,1.16192,1.16508,0.00053,3.0,2.38,7.15,126.25,TP
2025-08-13T06:39:00+00:00,buy,1.16854,1.1684,1.16896,9e-05,3.0,2.52,7.57,133.82,TP
2025-08-13T09:38:00+00:00,buy,1.16905,1.16878,1.16987,0.00018,3.0,2.68,8.03,141.85,TP
2025-08-13T10:09:00+00:00,buy,1.16999,1.16969,1.17088,0.0002,3.0,2.84,8.51,150.36,TP
2025-08-13T12:55:00+00:00,buy,1.17293,1.17274,1.17349,0.00012,-1.0,3.01,-3.01,147.36,SL
2025-08-15T06:09:00+00:00,buy,1.16583,1.1657,1.16621,8e-05,3.0,2.95,8.84,156.2,TP
2025-08-15T06:32:00+00:00,buy,1.16618,1.16605,1.16658,9e-05,3.0,3.12,9.37,165.57,TP
2025-08-15T08:48:00+00:00,buy,1.16653,1.1664,1.16692,9e-05,3.0,3.31,9.93,175.5,TP
2025-08-15T09:33:00+00:00,buy,1.16721,1.167,1.16785,0.00014,3.0,3.51,10.53,186.03,TP
2025-08-15T10:05:00+00:00,buy,1.16768,1.16745,1.16838,0.00016,3.0,3.72,11.16,197.2,TP
2025-08-15T15:40:00+00:00,buy,1.1696,1.16911,1.17106,0.00033,3.0,3.94,11.83,209.03,TP
2025-08-19T09:46:00+00:00,buy,1.16685,1.16659,1.16764,0.00018,3.0,4.18,12.54,221.57,TP
2025-08-19T10:06:00+00:00,buy,1.16801,1.16769,1.16896,0.00021,0.0,4.43,0.0,221.57,BE
2025-08-19T13:19:00+00:00,buy,1.16852,1.16832,1.16911,0.00013,3.0,4.43,13.29,234.86,TP
2025-08-20T10:20:00+00:00,buy,1.16431,1.16399,1.16528,0.00021,3.0,4.7,14.09,248.95,TP
2025-08-22T06:27:00+00:00,sell,1.16021,1.16035,1.15979,9e-05,3.0,4.98,14.94,263.89,TP
2025-08-22T06:48:00+00:00,sell,1.15914,1.15936,1.15848,0.00015,3.0,5.28,15.83,279.73,TP
2025-08-22T07:20:00+00:00,sell,1.15887,1.15903,1.15838,0.00011,3.0,5.59,16.78,296.51,TP
2025-08-25T09:06:00+00:00,buy,1.17067,1.17044,1.17135,0.00015,3.0,5.93,17.79,314.3,TP
2025-08-26T10:09:00+00:00,sell,1.1613,1.16173,1.16,0.00029,0.0,6.29,0.0,314.3,BE
2025-08-28T07:03:00+00:00,sell,1.1641,1.16423,1.1637,9e-05,3.0,6.29,18.86,333.16,TP
2025-09-01T06:01:00+00:00,buy,1.17134,1.17114,1.17193,0.00013,-1.0,6.66,-6.66,326.49,SL
2025-09-01T09:05:00+00:00,buy,1.17229,1.17204,1.17303,0.00016,3.0,6.53,19.59,346.08,TP
2025-09-01T09:30:00+00:00,buy,1.17233,1.1721,1.17302,0.00015,3.0,6.92,20.77,366.85,TP
2025-09-03T07:02:00+00:00,sell,1.16219,1.1623,1.16186,7e-05,-1.0,7.34,-7.34,359.51,SL
2025-09-03T10:16:00+00:00,sell,1.16255,1.16282,1.16173,0.00018,3.0,7.19,21.57,381.08,TP
2025-09-05T13:24:00+00:00,buy,1.16929,1.16909,1.1699,0.00014,3.0,7.62,22.86,403.95,TP
2025-09-05T13:49:00+00:00,buy,1.16962,1.16943,1.1702,0.00013,3.0,8.08,24.24,428.18,TP
2025-09-05T15:08:00+00:00,buy,1.16994,1.16955,1.17112,0.00026,3.0,8.56,25.69,453.88,TP
2025-09-05T15:30:00+00:00,buy,1.17437,1.17344,1.17715,0.00062,0.0,9.08,0.0,453.88,BE
2025-09-08T08:20:00+00:00,buy,1.17185,1.17166,1.17241,0.00012,3.0,9.08,27.23,481.11,TP
2025-09-08T10:02:00+00:00,buy,1.17287,1.17253,1.1739,0.00023,3.0,9.62,28.87,509.97,TP
2025-09-09T08:53:00+00:00,buy,1.17779,1.17759,1.1784,0.00014,0.0,10.2,0.0,509.97,BE
2025-09-10T07:16:00+00:00,buy,1.17108,1.17094,1.17149,9e-05,3.0,10.2,30.6,540.57,TP
2025-09-10T07:58:00+00:00,buy,1.17143,1.17128,1.17187,0.0001,0.0,10.81,0.0,540.57,BE
2025-09-11T15:31:00+00:00,buy,1.17138,1.17021,1.17488,0.00078,0.0,10.81,0.0,540.57,BE
2025-09-11T15:56:00+00:00,buy,1.17154,1.17052,1.17459,0.00068,3.0,10.81,32.43,573.01,TP
2025-09-12T09:50:00+00:00,buy,1.17337,1.17311,1.17416,0.00018,3.0,11.46,34.38,607.39,TP
