time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
2025-09-01T06:01:00+00:00,buy,1.17134,1.17114,1.17193,0.00013,-1.0,2.0,-2.0,98.0,SL
2025-09-01T09:05:00+00:00,buy,1.17229,1.17204,1.17303,0.00016,3.0,1.96,5.88,103.88,TP
2025-09-01T09:30:00+00:00,buy,1.17233,1.1721,1.17302,0.00015,3.0,2.08,6.23,110.11,TP
2025-09-03T07:02:00+00:00,sell,1.16219,1.1623,1.16186,7e-05,-1.0,2.2,-2.2,107.91,SL
2025-09-03T10:16:00+00:00,sell,1.16255,1.16282,1.16173,0.00018,3.0,2.16,6.47,114.39,TP
2025-09-05T13:24:00+00:00,buy,1.16929,1.16909,1.1699,0.00014,3.0,2.29,6.86,121.25,TP
2025-09-05T13:49:00+00:00,buy,1.16962,1.16943,1.1702,0.00013,3.0,2.42,7.27,128.52,TP
2025-09-05T15:08:00+00:00,buy,1.16994,1.16955,1.17112,0.00026,3.0,2.57,7.71,136.23,TP
2025-09-05T15:30:00+00:00,buy,1.17437,1.17344,1.17715,0.00062,0.0,2.72,0.0,136.23,BE
