2025-09-13 09:16:04.071 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-13 09:22:47.529 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-13 09:25:08.973 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-13 10:50:55.473 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-13 10:59:14.399 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-14 04:35:21.520 | ERROR    | bot_mt5:init_mt5:60 - MT5 init failed: (-10005, 'IPC timeout')
2025-09-14 04:38:07.174 | ERROR    | bot_mt5:init_mt5:60 - MT5 init failed: (-10005, 'IPC timeout')
2025-09-14 04:40:41.527 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-14 04:42:04.325 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-14 04:46:12.893 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-14 10:33:43.839 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-14 10:59:19.159 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-14 11:03:10.675 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-14 11:24:10.223 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
2025-09-14 11:56:34.079 | INFO     | bot_mt5:init_mt5:65 - MT5 initialized.
