time,side,entry_raw,entry,sl,tp,atr,spread_pts,lots,R,outcome,equity_after
2025-01-02T10:20:00+00:00,sell,1.03511,1.03506,1.03541,1.03402,0.00023,4.0,0.01,-0.22976484688298798,BE,19.91
2025-01-02T12:30:00+00:00,sell,1.03495,1.0349,1.03512,1.03424,0.00015,4.0,0.01,-0.36320775431698155,BE,19.76
2025-01-02T12:50:00+00:00,sell,1.03191,1.03186,1.03244,1.03011,0.00039,4.0,0.01,-0.1375340031152913,BE,19.71
2025-01-07T14:42:00+00:00,sell,1.03941,1.03936,1.03976,1.03816,0.00027,4.0,0.01,-0.20055819499903266,BE,19.63
2025-01-08T09:00:00+00:00,sell,1.03472,1.03467,1.03492,1.03391,0.00017,4.0,0.01,-0.31466250125507206,BE,19.51
2025-01-08T09:30:00+00:00,sell,1.03424,1.03419,1.03446,1.03337,0.00018,4.0,0.01,2.708603776337852,TP,20.56
2025-01-08T09:50:00+00:00,sell,1.03326,1.03321,1.03352,1.03227,0.00021,4.0,0.01,-0.2563543782977341,BE,20.46
2025-01-08T13:15:00+00:00,sell,1.03111,1.03106,1.03135,1.03018,0.0002,4.0,0.01,-0.27210712909428764,BE,20.35
2025-01-08T13:35:00+00:00,sell,1.02823,1.02818,1.02883,1.02624,0.00043,4.0,0.01,-0.12395965991742876,BE,20.3
2025-01-09T08:05:00+00:00,sell,1.03038,1.03033,1.03047,1.02991,9e-05,4.0,0.02,2.4281828744143086,TP,21.28
2025-01-09T09:42:00+00:00,sell,1.02945,1.0294,1.02972,1.02844,0.00021,4.0,0.01,-0.24945109308994723,BE,21.18
2025-01-09T10:02:00+00:00,sell,1.02897,1.02892,1.02924,1.02795,0.00022,4.0,0.01,-0.24774264858177641,BE,21.07
2025-01-10T07:49:00+00:00,sell,1.02899,1.02894,1.02904,1.02863,7e-05,4.0,0.04,2.219812926212331,TP,22.01
2025-01-10T08:49:00+00:00,sell,1.02822,1.02817,1.0283,1.02778,9e-05,4.0,0.03,-1.6157209700123296,SL,21.29
2025-01-13T06:15:00+00:00,sell,1.02156,1.02151,1.0217,1.02095,0.00013,4.0,0.02,2.5734655343981276,TP,22.39
2025-01-13T06:35:00+00:00,sell,1.02107,1.02102,1.02125,1.02034,0.00015,4.0,0.01,-0.35350662294328067,BE,22.23
2025-01-14T14:01:00+00:00,sell,1.02522,1.02517,1.0254,1.02448,0.00015,4.0,0.01,2.652340717075088,TP,23.41
2025-01-15T07:57:00+00:00,sell,1.02949,1.02944,1.0296,1.02896,0.00011,4.0,0.02,-0.5031134174694133,BE,23.18
2025-01-16T07:36:00+00:00,sell,1.02829,1.02824,1.02836,1.02788,8e-05,4.0,0.03,-0.666441648806937,BE,22.87
2025-01-24T10:03:00+00:00,buy,1.04628,1.04633,1.04599,1.04734,0.00022,4.0,0.01,2.7625680368548466,TP,24.13
2025-01-24T10:30:00+00:00,buy,1.04893,1.04898,1.04834,1.05089,0.00042,4.0,0.01,2.8741725695113,TP,25.52
2025-01-27T13:13:00+00:00,buy,1.05168,1.05173,1.05133,1.05292,0.00026,4.0,0.01,-0.20248779375471426,BE,25.41
2025-01-27T14:56:00+00:00,buy,1.05252,1.05257,1.0522,1.05368,0.00025,4.0,0.01,-0.21677080095206508,BE,25.3
2025-01-30T15:53:00+00:00,buy,1.04289,1.04294,1.04241,1.04454,0.00036,3.0,0.01,-0.14986597815651131,BE,25.23
2025-02-04T06:51:00+00:00,sell,1.03068,1.03063,1.03079,1.03014,0.00011,4.0,0.03,2.510201087203685,TP,26.5
2025-02-04T07:11:00+00:00,sell,1.02731,1.02726,1.02789,1.02537,0.00042,4.0,0.01,-1.127278460691322,SL,25.9
2025-02-13T06:01:00+00:00,buy,1.0423,1.04235,1.04215,1.04296,0.00014,4.0,0.02,2.6089163268129245,TP,27.25
2025-02-13T06:36:00+00:00,buy,1.04301,1.04306,1.04286,1.04366,0.00013,4.0,0.02,-0.40221194911990077,BE,27.03
2025-02-13T07:11:00+00:00,buy,1.0438,1.04385,1.04365,1.04445,0.00013,4.0,0.02,-1.4003591915593352,SL,26.27
2025-02-19T07:38:00+00:00,buy,1.04525,1.0453,1.04523,1.0455,5e-05,4.0,0.07,-1.1792148565485254,BE,25.65
2025-02-19T08:00:00+00:00,buy,1.04562,1.04567,1.04555,1.04603,8e-05,4.0,0.04,2.324255077838937,TP,26.85
2025-03-03T08:40:00+00:00,sell,1.04104,1.04099,1.04117,1.04044,0.00012,2.0,0.02,-0.4367275367857312,BE,26.61
2025-03-03T09:00:00+00:00,sell,1.04071,1.04066,1.04091,1.03992,0.00016,2.0,0.02,-0.32621535791088374,BE,26.44
2025-03-03T09:20:00+00:00,sell,1.0403,1.04025,1.04057,1.0393,0.00021,2.0,0.01,2.7460445556433246,TP,27.89
2025-03-04T09:14:00+00:00,buy,1.04914,1.04919,1.04889,1.05008,0.0002,2.0,0.01,-0.26889933148993717,BE,27.74
2025-03-04T09:44:00+00:00,buy,1.04958,1.04963,1.04922,1.05086,0.00027,1.0,0.01,-0.19461179717329632,BE,27.63
2025-03-04T10:26:00+00:00,buy,1.05114,1.05119,1.05068,1.05272,0.00034,1.0,0.01,-0.15687336685079534,BE,27.55
2025-03-04T13:46:00+00:00,buy,1.05262,1.05267,1.05235,1.05362,0.00021,1.0,0.01,2.7462338300722045,TP,29.06
2025-03-04T14:30:00+00:00,buy,1.05528,1.05533,1.05486,1.05675,0.00032,0.0,0.01,-0.16848205792884663,BE,28.96
2025-03-04T14:57:00+00:00,buy,1.05538,1.05543,1.05497,1.05682,0.00031,0.0,0.01,-0.1726389260076374,BE,28.86
2025-03-05T07:48:00+00:00,buy,1.06251,1.06256,1.06239,1.06308,0.00012,2.0,0.03,2.5378043275434004,TP,30.32
2025-03-05T08:08:00+00:00,buy,1.06353,1.06358,1.06335,1.06428,0.00016,2.0,0.02,-0.3440764298456448,BE,30.12
