i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
28,2025-08-06T21:33:00+00:00,buy,1.16628,1.16603,1.16703,0.00017,-1.0,SL,0.97,-0.97,95.72
29,2025-08-06T21:41:00+00:00,buy,1.16658,1.16636,1.16725,0.00015,-1.0,SL,0.96,-0.96,94.76
30,2025-08-06T21:42:00+00:00,buy,1.16668,1.16645,1.16736,0.00015,-1.0,SL,0.95,-0.95,93.81
31,2025-08-06T21:43:00+00:00,buy,1.16673,1.1665,1.16743,0.00016,-1.0,SL,0.94,-0.94,92.88
32,2025-08-07T07:03:00+00:00,buy,1.1667,1.16653,1.1672,0.00011,3.0,TP,0.93,2.79,95.66
33,2025-08-07T07:11:00+00:00,buy,1.16713,1.16696,1.16763,0.00011,-1.0,SL,0.96,-0.96,94.71
34,2025-08-07T07:12:00+00:00,buy,1.16715,1.16698,1.16765,0.00011,-1.0,SL,0.95,-0.95,93.76
35,2025-08-07T07:26:00+00:00,buy,1.16734,1.16716,1.16789,0.00012,-1.0,SL,0.94,-0.94,92.82
36,2025-08-07T10:47:00+00:00,buy,1.16853,1.16824,1.16941,0.00019,3.0,TP,0.93,2.78,95.61
37,2025-08-07T10:50:00+00:00,buy,1.16878,1.16848,1.16967,0.0002,3.0,TP,0.96,2.87,98.47
38,2025-08-07T11:04:00+00:00,buy,1.16972,1.16937,1.17077,0.00023,-1.0,SL,0.98,-0.98,97.49
39,2025-08-07T22:31:00+00:00,buy,1.16377,1.16337,1.16497,0.00027,3.0,TP,0.97,2.92,100.41
40,2025-08-07T22:32:00+00:00,buy,1.16376,1.16333,1.16505,0.00029,3.0,TP,1.0,3.01,103.43
41,2025-08-07T22:33:00+00:00,buy,1.16382,1.16338,1.16515,0.0003,3.0,TP,1.03,3.1,106.53
42,2025-08-07T22:34:00+00:00,buy,1.16415,1.16369,1.16553,0.00031,3.0,TP,1.07,3.2,109.72
43,2025-08-07T22:35:00+00:00,buy,1.16438,1.16392,1.16576,0.00031,3.0,TP,1.1,3.29,113.02
44,2025-08-07T22:37:00+00:00,buy,1.16475,1.16426,1.16622,0.00033,3.0,TP,1.13,3.39,116.41
45,2025-08-07T22:44:00+00:00,buy,1.16541,1.16492,1.16688,0.00033,-1.0,SL,1.16,-1.16,115.24
46,2025-08-07T23:07:00+00:00,buy,1.1662,1.16579,1.16742,0.00027,-1.0,SL,1.15,-1.15,114.09
47,2025-08-07T23:20:00+00:00,buy,1.16672,1.16639,1.1677,0.00022,-1.0,SL,1.14,-1.14,112.95
48,2025-08-07T23:29:00+00:00,buy,1.16701,1.16675,1.16779,0.00017,-1.0,SL,1.13,-1.13,111.82
49,2025-08-08T01:37:00+00:00,buy,1.1672,1.16705,1.16764,0.0001,-1.0,SL,1.12,-1.12,110.7
50,2025-08-08T01:38:00+00:00,buy,1.16719,1.16704,1.16763,0.0001,-1.0,SL,1.11,-1.11,109.59
51,2025-08-08T01:39:00+00:00,buy,1.16731,1.16716,1.16776,0.0001,-1.0,SL,1.1,-1.1,108.5
52,2025-08-08T01:40:00+00:00,buy,1.16734,1.16719,1.16779,0.0001,-1.0,SL,1.08,-1.08,107.41
53,2025-08-08T02:16:00+00:00,buy,1.16752,1.16735,1.16804,0.00012,-1.0,SL,1.07,-1.07,106.34
54,2025-08-08T02:25:00+00:00,buy,1.16768,1.16753,1.16814,0.0001,-1.0,SL,1.06,-1.06,105.28
55,2025-08-08T02:26:00+00:00,buy,1.16774,1.16759,1.1682,0.0001,-1.0,SL,1.05,-1.05,104.22
56,2025-08-11T23:21:00+00:00,buy,1.1611,1.16098,1.16145,8e-05,3.0,TP,1.04,3.13,107.35
57,2025-08-11T23:23:00+00:00,buy,1.16126,1.16113,1.16164,8e-05,3.0,TP,1.07,3.22,110.57
58,2025-08-11T23:25:00+00:00,buy,1.16151,1.16136,1.16195,0.0001,-1.0,SL,1.11,-1.11,109.47
59,2025-08-11T23:26:00+00:00,buy,1.16154,1.16138,1.16201,0.0001,-1.0,SL,1.09,-1.09,108.37
60,2025-08-12T04:34:00+00:00,buy,1.16172,1.16154,1.16225,0.00012,3.0,TP,1.08,3.25,111.62
61,2025-08-12T04:35:00+00:00,buy,1.16189,1.1617,1.16246,0.00013,3.0,TP,1.12,3.35,114.97
62,2025-08-12T04:38:00+00:00,buy,1.16221,1.16201,1.1628,0.00013,-1.0,SL,1.15,-1.15,113.82
