time,side,entry_raw,entry,sl,tp,atr,spread_pts,lots,R,pnl_usd,equity_after,outcome
2025-01-14T14:01:00+00:00,sell,1.02522,1.02519,1.02542,1.0245,0.00015,4.0,0.02,3.0,1.93,36.42,TP
2025-01-15T07:57:00+00:00,sell,1.02949,1.02946,1.02962,1.02898,0.00011,4.0,0.04,3.0,1.91,38.33,TP
2025-01-16T07:36:00+00:00,sell,1.02829,1.02826,1.02838,1.0279,8e-05,4.0,0.06,0.0,-0.42,37.91,BE
2025-01-24T10:03:00+00:00,buy,1.04628,1.04631,1.04597,1.04732,0.00022,4.0,0.02,3.0,2.13,40.04,TP
2025-01-24T10:30:00+00:00,buy,1.04893,1.04896,1.04832,1.05087,0.00042,4.0,0.01,3.0,2.33,42.37,TP
2025-01-27T13:13:00+00:00,buy,1.05168,1.05171,1.05131,1.0529,0.00026,4.0,0.02,3.0,2.4,44.78,TP
2025-01-27T14:56:00+00:00,buy,1.05252,1.05255,1.05218,1.05366,0.00025,4.0,0.02,0.0,-0.14,44.64,BE
2025-01-30T15:53:00+00:00,buy,1.04289,1.04292,1.04239,1.04452,0.00036,3.0,0.01,3.0,2.61,47.24,TP
2025-02-04T06:51:00+00:00,sell,1.03068,1.03065,1.03081,1.03016,0.00011,4.0,0.05,3.0,2.48,49.73,TP
2025-02-04T07:11:00+00:00,sell,1.02731,1.02728,1.02791,1.02539,0.00042,4.0,0.01,-1.0,-1.06,48.66,SL
2025-02-13T06:01:00+00:00,buy,1.0423,1.04233,1.04213,1.04294,0.00014,4.0,0.04,3.0,2.64,51.3,TP
2025-02-13T06:36:00+00:00,buy,1.04301,1.04304,1.04284,1.04364,0.00013,4.0,0.05,3.0,2.73,54.03,TP
2025-02-13T07:11:00+00:00,buy,1.0438,1.04383,1.04363,1.04443,0.00013,4.0,0.05,-1.0,-1.43,52.6,SL
2025-02-19T07:38:00+00:00,buy,1.04525,1.04528,1.04521,1.04548,5e-05,4.0,0.15,3.0,2.11,54.71,TP
2025-02-19T08:00:00+00:00,buy,1.04562,1.04565,1.04553,1.04601,8e-05,4.0,0.09,3.0,2.65,57.36,TP
2025-03-03T08:40:00+00:00,sell,1.04104,1.04101,1.04119,1.04046,0.00012,2.0,0.06,3.0,3.02,60.38,TP
2025-03-03T09:00:00+00:00,sell,1.04071,1.04068,1.04093,1.03994,0.00016,2.0,0.04,3.0,3.34,63.72,TP
2025-03-03T09:20:00+00:00,sell,1.0403,1.04027,1.04059,1.03932,0.00021,2.0,0.04,3.0,3.54,67.27,TP
2025-03-04T09:14:00+00:00,buy,1.04914,1.04917,1.04887,1.05006,0.0002,2.0,0.04,3.0,3.76,71.02,TP
2025-03-04T09:44:00+00:00,buy,1.04958,1.04961,1.0492,1.05084,0.00027,1.0,0.03,3.0,4.05,75.08,TP
2025-03-04T10:26:00+00:00,buy,1.05114,1.05117,1.05066,1.0527,0.00034,1.0,0.02,3.0,4.36,79.44,TP
2025-03-04T13:46:00+00:00,buy,1.05262,1.05265,1.05233,1.0536,0.00021,1.0,0.05,3.0,4.42,83.86,TP
2025-03-04T14:30:00+00:00,buy,1.05528,1.05531,1.05484,1.05673,0.00032,0.0,0.03,0.0,-0.21,83.65,BE
2025-03-04T14:57:00+00:00,buy,1.05538,1.05541,1.05495,1.0568,0.00031,0.0,0.03,0.0,-0.21,83.44,BE
2025-03-05T07:48:00+00:00,buy,1.06251,1.06254,1.06237,1.06306,0.00012,2.0,0.09,3.0,4.38,87.81,TP
2025-03-05T08:08:00+00:00,buy,1.06353,1.06356,1.06333,1.06426,0.00016,2.0,0.07,3.0,4.78,92.59,TP
2025-03-05T09:23:00+00:00,buy,1.06397,1.064,1.06357,1.06529,0.00029,2.0,0.04,3.0,5.28,97.87,TP
2025-03-05T09:56:00+00:00,buy,1.06717,1.0672,1.06656,1.06912,0.00043,1.0,0.03,3.0,5.66,103.53,TP
2025-03-07T08:15:00+00:00,buy,1.08149,1.08152,1.08127,1.08227,0.00017,2.0,0.08,3.0,5.65,109.18,TP
2025-03-07T08:38:00+00:00,buy,1.08206,1.08209,1.08185,1.08282,0.00016,2.0,0.09,3.0,5.92,115.1,TP
2025-03-07T09:07:00+00:00,buy,1.08278,1.08281,1.08246,1.08385,0.00023,2.0,0.06,3.0,6.49,121.59,TP
2025-03-07T09:30:00+00:00,buy,1.08329,1.08332,1.08303,1.08418,0.00019,1.0,0.08,3.0,6.74,128.32,TP
2025-03-07T10:12:00+00:00,buy,1.08354,1.08357,1.08317,1.08476,0.00027,1.0,0.06,3.0,7.28,135.6,TP
2025-03-11T15:23:00+00:00,buy,1.09196,1.09199,1.09157,1.09326,0.00028,0.0,0.06,0.0,-0.42,135.18,BE
2025-03-11T15:44:00+00:00,buy,1.09291,1.09294,1.0926,1.09397,0.00023,0.0,0.07,-1.0,-3.19,131.99,SL
2025-03-14T10:23:00+00:00,buy,1.08527,1.0853,1.08493,1.08641,0.00025,1.0,0.07,3.0,7.43,139.42,TP
2025-03-14T12:41:00+00:00,buy,1.08815,1.08818,1.08758,1.08997,0.0004,1.0,0.04,3.0,8.09,147.5,TP
2025-03-18T08:49:00+00:00,buy,1.09123,1.09126,1.09108,1.09181,0.00012,2.0,0.16,3.0,7.73,155.23,TP
2025-03-18T09:35:00+00:00,buy,1.09259,1.09262,1.09236,1.09341,0.00018,1.0,0.11,3.0,8.54,163.78,TP
2025-03-18T09:58:00+00:00,buy,1.09331,1.09334,1.09302,1.0943,0.00021,1.0,0.1,3.0,9.13,172.9,TP
2025-03-21T13:50:00+00:00,buy,1.08473,1.08476,1.08447,1.08564,0.0002,1.0,0.11,3.0,9.6,182.51,TP
2025-03-26T15:19:00+00:00,sell,1.07753,1.0775,1.07791,1.07626,0.00028,8.0,0.08,0.0,-0.56,181.95,BE
2025-03-28T06:07:00+00:00,sell,1.07877,1.07874,1.07888,1.07832,9e-05,11.0,0.26,3.0,9.1,191.05,TP
2025-03-31T09:01:00+00:00,sell,1.08283,1.0828,1.08307,1.08199,0.00018,8.0,0.14,3.0,10.48,201.53,TP
2025-03-31T13:11:00+00:00,sell,1.08081,1.08078,1.08105,1.07997,0.00018,8.0,0.14,0.0,-0.98,200.55,BE
2025-03-31T13:43:00+00:00,sell,1.08111,1.08108,1.08133,1.08034,0.00016,11.0,0.16,3.0,10.91,211.46,TP
2025-03-31T15:48:00+00:00,sell,1.08042,1.08039,1.08067,1.07954,0.00019,11.0,0.14,3.0,11.71,223.17,TP
2025-04-03T08:21:00+00:00,buy,1.09224,1.09227,1.09198,1.09314,0.00019,8.0,0.15,3.0,12.34,235.51,TP
2025-04-03T09:33:00+00:00,buy,1.09503,1.09506,1.09446,1.09686,0.0004,8.0,0.07,3.0,13.64,249.15,TP
2025-04-04T06:30:00+00:00,buy,1.10781,1.10784,1.10745,1.10901,0.00026,10.0,0.12,3.0,14.11,263.26,TP
2025-04-04T08:24:00+00:00,buy,1.1104,1.11043,1.11007,1.11151,0.00024,10.0,0.14,-1.0,-6.25,257.01,SL
2025-04-04T14:38:00+00:00,buy,1.10658,1.10661,1.10554,1.10981,0.00071,8.0,0.04,0.0,-0.28,256.73,BE
2025-04-07T08:18:00+00:00,buy,1.09924,1.09927,1.0988,1.10067,0.00031,8.0,0.11,3.0,14.63,271.37,TP
2025-04-07T08:54:00+00:00,buy,1.10013,1.10016,1.0996,1.10183,0.00037,8.0,0.09,3.0,15.65,287.02,TP
2025-04-09T07:18:00+00:00,buy,1.10428,1.10431,1.10375,1.10598,0.00037,8.0,0.1,3.0,16.52,303.54,TP
2025-04-09T09:53:00+00:00,buy,1.10861,1.10864,1.10778,1.11121,0.00057,8.0,0.07,-1.0,-6.56,296.98,SL
2025-04-10T15:16:00+00:00,buy,1.10946,1.10949,1.10891,1.11122,0.00039,9.0,0.1,3.0,17.12,314.1,TP
2025-04-14T09:34:00+00:00,buy,1.14139,1.14142,1.14056,1.14401,0.00058,8.0,0.07,0.0,-0.49,313.61,BE
2025-04-14T09:54:00+00:00,buy,1.14228,1.14231,1.14157,1.14453,0.00049,9.0,0.08,-1.0,-6.83,306.78,SL
2025-04-16T10:29:00+00:00,buy,1.13895,1.13898,1.13834,1.1409,0.00043,8.0,0.09,-1.0,-6.77,300.01,SL
2025-04-21T08:31:00+00:00,buy,1.15314,1.15317,1.1529,1.15398,0.00018,8.0,0.22,3.0,16.46,316.47,TP
2025-04-22T06:00:00+00:00,buy,1.15201,1.15204,1.15174,1.15295,0.0002,8.0,0.2,3.0,17.59,334.06,TP
2025-04-22T06:41:00+00:00,buy,1.15388,1.15391,1.1535,1.15513,0.00027,8.0,0.16,0.0,-1.12,332.94,BE
2025-04-22T08:28:00+00:00,buy,1.15444,1.15447,1.15407,1.15568,0.00027,8.0,0.16,-1.0,-7.78,325.16,SL
2025-05-01T06:39:00+00:00,sell,1.13001,1.12998,1.13019,1.12935,0.00014,12.0,0.3,3.0,17.41,342.57,TP
2025-05-01T08:01:00+00:00,sell,1.12982,1.12979,1.13003,1.12907,0.00016,8.0,0.28,3.0,18.59,361.16,TP
2025-05-01T08:23:00+00:00,sell,1.12942,1.12939,1.12967,1.12855,0.00019,11.0,0.25,0.0,-1.75,359.41,BE
2025-05-12T10:01:00+00:00,sell,1.11955,1.11952,1.12027,1.11727,0.0005,8.0,0.09,3.0,20.93,380.35,TP
2025-05-12T10:22:00+00:00,sell,1.11444,1.11441,1.11544,1.11131,0.00069,8.0,0.07,3.0,22.33,402.68,TP
2025-05-12T13:40:00+00:00,sell,1.10809,1.10806,1.10864,1.10631,0.00039,10.0,0.13,0.0,-0.91,401.77,BE
2025-05-13T13:06:00+00:00,sell,1.11039,1.11036,1.11067,1.10942,0.00021,8.0,0.25,0.0,-1.75,400.02,BE
2025-05-13T13:42:00+00:00,sell,1.11022,1.11019,1.11049,1.10928,0.0002,8.0,0.26,0.0,-1.82,398.2,BE
2025-05-15T14:33:00+00:00,sell,1.11873,1.1187,1.11906,1.11763,0.00024,8.0,0.22,0.0,-1.54,396.66,BE
2025-05-15T14:58:00+00:00,sell,1.11819,1.11816,1.11853,1.11704,0.00025,8.0,0.21,0.0,-1.47,395.19,BE
2025-05-16T12:51:00+00:00,sell,1.11972,1.11969,1.11998,1.11883,0.00019,10.0,0.27,3.0,21.82,417.01,TP
2025-05-20T10:13:00+00:00,buy,1.12685,1.12688,1.12644,1.1282,0.00029,9.0,0.18,0.0,-1.26,415.75,BE
2025-05-21T06:53:00+00:00,buy,1.13358,1.13361,1.13333,1.13444,0.00019,8.0,0.29,3.0,22.92,438.67,TP
2025-05-21T09:15:00+00:00,buy,1.13446,1.13449,1.13399,1.13599,0.00033,9.0,0.17,0.0,-1.19,437.48,BE
2025-05-21T13:16:00+00:00,buy,1.13453,1.13456,1.13417,1.13573,0.00026,8.0,0.22,3.0,24.71,462.18,TP
2025-05-23T07:33:00+00:00,buy,1.13142,1.13145,1.13128,1.13197,0.00012,12.0,0.52,3.0,24.09,486.28,TP
2025-05-23T08:11:00+00:00,buy,1.13194,1.13197,1.13183,1.13239,9e-05,9.0,0.69,3.0,24.35,510.62,TP
2025-05-23T08:56:00+00:00,buy,1.13244,1.13247,1.13221,1.13325,0.00017,9.0,0.39,3.0,27.91,538.53,TP
2025-05-23T10:22:00+00:00,buy,1.13345,1.13348,1.13312,1.13457,0.00024,10.0,0.29,3.0,30.28,568.81,TP
2025-05-23T13:20:00+00:00,buy,1.1357,1.13573,1.13537,1.13681,0.00024,8.0,0.31,3.0,31.96,600.77,TP
2025-06-04T10:22:00+00:00,buy,1.13889,1.13892,1.13859,1.1399,0.00022,8.0,0.36,3.0,33.53,634.3,TP
2025-06-05T13:15:00+00:00,buy,1.14262,1.14265,1.1424,1.14339,0.00017,11.0,0.51,3.0,34.49,668.78,TP
2025-06-05T15:33:00+00:00,buy,1.14448,1.14451,1.14372,1.14689,0.00053,8.0,0.16,3.0,39.01,707.79,TP
2025-06-12T12:49:00+00:00,buy,1.1563,1.15633,1.15597,1.15742,0.00024,8.0,0.38,3.0,39.81,747.6,TP
2025-06-12T13:17:00+00:00,buy,1.15818,1.15821,1.15759,1.16008,0.00042,11.0,0.23,3.0,43.25,790.84,TP
2025-06-12T13:51:00+00:00,buy,1.15963,1.15966,1.15896,1.16177,0.00047,8.0,0.22,3.0,45.91,836.76,TP
2025-06-18T07:56:00+00:00,buy,1.15067,1.1507,1.15054,1.15119,0.00011,10.0,1.01,3.0,43.14,879.89,TP
2025-06-18T09:01:00+00:00,buy,1.15061,1.15064,1.1504,1.15135,0.00016,10.0,0.74,3.0,47.61,927.5,TP
2025-06-18T09:23:00+00:00,buy,1.15113,1.15116,1.15085,1.1521,0.00021,10.0,0.59,3.0,51.52,979.02,TP
2025-06-18T10:02:00+00:00,buy,1.15166,1.15169,1.15135,1.15271,0.00023,9.0,0.57,0.0,-3.99,975.03,BE
2025-06-20T06:46:00+00:00,buy,1.15264,1.15267,1.1524,1.15347,0.00018,8.0,0.73,0.0,-5.11,969.92,BE
2025-06-24T09:17:00+00:00,buy,1.16167,1.1617,1.16126,1.16302,0.00029,8.0,0.44,0.0,-3.08,966.84,BE
2025-06-27T06:27:00+00:00,buy,1.1707,1.17073,1.17055,1.17126,0.00012,11.0,1.09,-1.0,-26.97,939.88,SL
2025-06-27T10:00:00+00:00,buy,1.17186,1.17189,1.17148,1.17312,0.00027,8.0,0.45,0.0,-3.15,936.73,BE
2025-06-27T15:31:00+00:00,buy,1.17265,1.17268,1.17211,1.17438,0.00038,8.0,0.33,3.0,53.89,990.62,TP
2025-06-27T15:51:00+00:00,buy,1.17375,1.17378,1.17309,1.17585,0.00046,8.0,0.28,0.0,-1.96,988.66,BE
2025-06-30T08:00:00+00:00,buy,1.17313,1.17316,1.17293,1.17384,0.00015,9.0,0.87,3.0,53.23,1041.89,TP
2025-06-30T09:44:00+00:00,buy,1.17382,1.17385,1.17351,1.17488,0.00023,9.0,0.6,3.0,58.31,1100.2,TP
2025-07-01T12:30:00+00:00,buy,1.18206,1.18209,1.18158,1.18361,0.00034,8.0,0.43,0.0,-3.01,1097.19,BE
2025-07-04T12:44:00+00:00,buy,1.17815,1.17818,1.17798,1.17878,0.00013,9.0,1.09,-1.0,-29.57,1067.62,SL
2025-07-08T10:00:00+00:00,buy,1.17448,1.17451,1.1742,1.17544,0.00021,8.0,0.68,3.0,59.3,1126.92,TP
2025-07-09T09:52:00+00:00,buy,1.17248,1.17251,1.17227,1.17324,0.00016,9.0,0.92,0.0,-6.44,1120.48,BE
2025-07-16T14:50:00+00:00,sell,1.16074,1.16071,1.16091,1.16011,0.00013,10.0,1.11,3.0,59.46,1179.94,TP
2025-07-16T15:15:00+00:00,sell,1.15996,1.15993,1.16019,1.15914,0.00018,8.0,0.89,3.0,64.57,1244.5,TP
2025-07-16T15:56:00+00:00,sell,1.1596,1.15957,1.16009,1.15801,0.00035,8.0,0.47,3.0,71.38,1315.88,TP
2025-07-17T09:00:00+00:00,sell,1.16158,1.16155,1.16177,1.16089,0.00015,8.0,1.19,3.0,70.62,1386.51,TP
2025-07-17T09:20:00+00:00,sell,1.15943,1.1594,1.15978,1.15827,0.00025,8.0,0.73,3.0,78.08,1464.59,TP
2025-07-17T10:06:00+00:00,sell,1.15746,1.15743,1.15778,1.15637,0.00023,8.0,0.83,-1.0,-35.1,1429.48,SL
2025-07-22T12:49:00+00:00,buy,1.17006,1.17009,1.1699,1.17065,0.00012,10.0,1.53,3.0,75.06,1504.54,TP
2025-07-23T10:01:00+00:00,buy,1.17432,1.17435,1.17408,1.17516,0.00018,10.0,1.11,3.0,82.5,1587.05,TP
2025-07-24T06:05:00+00:00,buy,1.17778,1.17781,1.17765,1.1783,0.00011,8.0,1.93,-1.0,-45.25,1541.8,SL
2025-07-29T06:31:00+00:00,sell,1.15889,1.15886,1.15899,1.15847,9e-05,8.0,2.34,3.0,76.13,1617.92,TP
2025-07-29T07:11:00+00:00,sell,1.15805,1.15802,1.1582,1.15748,0.00012,8.0,1.81,3.0,84.41,1702.33,TP
2025-07-29T09:30:00+00:00,sell,1.15708,1.15705,1.15737,1.15608,0.00022,9.0,1.05,3.0,94.79,1797.12,TP
2025-07-29T09:50:00+00:00,sell,1.15548,1.15545,1.15594,1.15399,0.00033,8.0,0.73,3.0,102.72,1899.84,TP
2025-07-29T10:10:00+00:00,sell,1.15279,1.15276,1.1535,1.15054,0.00049,8.0,0.51,-1.0,-41.57,1858.27,SL
2025-07-29T16:00:00+00:00,sell,1.15247,1.15244,1.15282,1.1513,0.00025,8.0,0.97,0.0,-6.79,1851.48,BE
2025-07-30T09:03:00+00:00,sell,1.15446,1.15443,1.15467,1.1537,0.00016,8.0,1.51,0.0,-10.57,1840.91,BE
2025-07-30T13:36:00+00:00,sell,1.15386,1.15383,1.15404,1.1532,0.00014,8.0,1.75,3.0,98.2,1939.11,TP
2025-07-30T14:08:00+00:00,sell,1.15304,1.15301,1.15329,1.15217,0.00019,8.0,1.38,3.0,106.69,2045.8,TP
2025-07-30T14:33:00+00:00,sell,1.15269,1.15266,1.15289,1.15198,0.00015,8.0,1.79,3.0,110.22,2156.02,TP
2025-07-30T15:10:00+00:00,sell,1.15244,1.15241,1.1527,1.15154,0.00019,8.0,1.49,3.0,118.93,2274.95,TP
2025-07-30T15:30:00+00:00,sell,1.15088,1.15085,1.15132,1.14943,0.00032,8.0,0.96,3.0,129.78,2404.73,TP
2025-07-30T15:56:00+00:00,sell,1.14761,1.14758,1.14823,1.14562,0.00044,8.0,0.73,0.0,-5.11,2399.62,BE
2025-07-31T13:29:00+00:00,sell,1.14274,1.14271,1.14298,1.1419,0.00018,9.0,1.76,3.0,131.66,2531.27,TP
2025-08-01T12:45:00+00:00,sell,1.1399,1.13987,1.1401,1.13917,0.00016,11.0,2.17,3.0,136.69,2667.96,TP
2025-08-04T10:19:00+00:00,sell,1.15608,1.15605,1.15655,1.15455,0.00033,1.0,1.06,0.0,-7.42,2660.54,BE
2025-08-07T07:03:00+00:00,buy,1.1667,1.16673,1.16656,1.16723,0.00011,11.0,3.16,3.0,137.51,2798.05,TP
2025-08-07T07:26:00+00:00,buy,1.16734,1.16737,1.16719,1.16792,0.00012,11.0,3.02,3.0,146.74,2944.79,TP
2025-08-12T07:51:00+00:00,buy,1.16254,1.16257,1.16241,1.16305,0.00011,10.0,3.68,0.0,-25.76,2919.03,BE
2025-08-13T06:39:00+00:00,buy,1.16854,1.16857,1.16843,1.16899,9e-05,12.0,4.2,3.0,145.74,3064.78,TP
2025-08-13T09:38:00+00:00,buy,1.16905,1.16908,1.16881,1.1699,0.00018,11.0,2.23,3.0,168.28,3233.05,TP
2025-08-13T10:09:00+00:00,buy,1.16999,1.17002,1.16972,1.17091,0.0002,8.0,2.18,3.0,178.72,3411.78,TP
2025-08-13T12:55:00+00:00,buy,1.17293,1.17296,1.17277,1.17352,0.00012,12.0,3.65,-1.0,-93.79,3317.99,SL
2025-08-15T06:09:00+00:00,buy,1.16583,1.16586,1.16573,1.16624,8e-05,12.0,5.28,3.0,162.12,3480.11,TP
2025-08-15T06:32:00+00:00,buy,1.16618,1.16621,1.16608,1.16661,9e-05,8.0,5.27,3.0,171.92,3652.03,TP
2025-08-15T08:48:00+00:00,buy,1.16653,1.16656,1.16643,1.16695,9e-05,10.0,5.69,3.0,179.29,3831.32,TP
2025-08-15T09:33:00+00:00,buy,1.16721,1.16724,1.16703,1.16788,0.00014,11.0,3.57,3.0,204.89,4036.21,TP
2025-08-15T10:05:00+00:00,buy,1.16768,1.16771,1.16748,1.16841,0.00016,8.0,3.45,3.0,218.02,4254.23,TP
2025-08-15T15:40:00+00:00,buy,1.1696,1.16963,1.16914,1.17109,0.00033,8.0,1.74,3.0,243.07,4497.3,TP
2025-08-19T09:46:00+00:00,buy,1.16685,1.16688,1.16662,1.16767,0.00018,8.0,3.4,3.0,246.04,4743.34,TP
2025-08-19T10:06:00+00:00,buy,1.16801,1.16804,1.16772,1.16899,0.00021,8.0,3.0,0.0,-21.0,4722.34,BE
2025-08-19T13:19:00+00:00,buy,1.16852,1.16855,1.16835,1.16914,0.00013,12.0,4.78,3.0,249.88,4972.22,TP
2025-08-20T10:20:00+00:00,buy,1.16431,1.16434,1.16402,1.16531,0.00021,8.0,3.08,3.0,276.77,5249.0,TP
2025-08-22T06:27:00+00:00,sell,1.16021,1.16018,1.16032,1.15976,9e-05,11.0,7.52,3.0,262.3,5511.3,TP
2025-08-22T06:48:00+00:00,sell,1.15914,1.15911,1.15933,1.15845,0.00015,9.0,5.03,3.0,295.47,5806.76,TP
2025-08-22T07:20:00+00:00,sell,1.15887,1.15884,1.159,1.15835,0.00011,10.0,7.11,3.0,298.64,6105.4,TP
2025-08-25T09:06:00+00:00,buy,1.17067,1.1707,1.17047,1.17138,0.00015,9.0,5.34,3.0,328.94,6434.34,TP
2025-08-26T10:09:00+00:00,sell,1.1613,1.16127,1.1617,1.15997,0.00029,8.0,2.97,0.0,-20.79,6413.55,BE
2025-08-28T07:03:00+00:00,sell,1.1641,1.16407,1.1642,1.16367,9e-05,12.0,9.6,3.0,317.61,6731.17,TP
2025-09-01T06:01:00+00:00,buy,1.17134,1.17137,1.17117,1.17196,0.00013,11.0,6.88,-1.0,-182.78,6548.38,SL
2025-09-01T09:30:00+00:00,buy,1.17233,1.17236,1.17213,1.17305,0.00015,11.0,5.73,3.0,352.79,6901.18,TP
2025-09-03T07:02:00+00:00,sell,1.16219,1.16216,1.16227,1.16183,7e-05,10.0,12.44,-1.0,-225.1,6676.07,SL
2025-09-03T10:16:00+00:00,sell,1.16255,1.16252,1.16279,1.1617,0.00018,9.0,4.88,3.0,366.4,7042.48,TP
2025-09-05T13:24:00+00:00,buy,1.16929,1.16932,1.16912,1.16993,0.00014,1.0,6.94,3.0,373.97,7416.45,TP
2025-09-05T13:49:00+00:00,buy,1.16962,1.16965,1.16946,1.17023,0.00013,1.0,7.7,3.0,391.09,7807.53,TP
2025-09-05T15:08:00+00:00,buy,1.16994,1.16997,1.16958,1.17115,0.00026,0.0,3.98,3.0,440.59,8248.12,TP
2025-09-08T08:20:00+00:00,buy,1.17185,1.17188,1.17169,1.17244,0.00012,2.0,8.89,3.0,432.66,8680.78,TP
2025-09-08T10:02:00+00:00,buy,1.17287,1.1729,1.17256,1.17393,0.00023,1.0,5.06,3.0,485.43,9166.21,TP
2025-09-09T08:53:00+00:00,buy,1.17779,1.17782,1.17762,1.17843,0.00014,2.0,9.01,0.0,-63.07,9103.14,BE
2025-09-10T07:16:00+00:00,buy,1.17108,1.17111,1.17097,1.17152,9e-05,2.0,13.21,3.0,453.72,9556.86,TP
2025-09-10T07:58:00+00:00,buy,1.17143,1.17146,1.17131,1.1719,0.0001,2.0,13.08,0.0,-91.56,9465.3,BE
2025-09-11T15:31:00+00:00,buy,1.17138,1.17141,1.17024,1.17491,0.00078,0.0,1.62,0.0,-11.34,9453.96,BE
2025-09-11T15:56:00+00:00,buy,1.17154,1.17157,1.17055,1.17462,0.00068,0.0,1.86,3.0,554.22,10008.17,TP
2025-09-12T09:50:00+00:00,buy,1.17337,1.1734,1.17314,1.17419,0.00018,1.0,7.6,3.0,547.29,10555.47,TP
