time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
2025-09-10T07:25:00+00:00,buy,1.1712,1.17106,1.17162,9e-05,-1.0,1.7,-1.7,83.3,SL
2025-09-10T07:48:00+00:00,buy,1.17118,1.17104,1.17161,0.0001,-1.0,1.67,-1.67,81.64,SL
2025-09-10T07:52:00+00:00,buy,1.17125,1.1711,1.1717,0.0001,-1.0,1.63,-1.63,80.01,SL
2025-09-10T07:53:00+00:00,buy,1.17134,1.17118,1.17181,0.0001,-1.0,1.6,-1.6,78.4,SL
2025-09-10T07:58:00+00:00,buy,1.17143,1.17128,1.17187,0.0001,-1.0,1.57,-1.57,76.84,SL
2025-09-10T07:59:00+00:00,buy,1.17153,1.17138,1.17199,0.0001,-1.0,1.54,-1.54,75.3,SL
2025-09-10T08:06:00+00:00,buy,1.17152,1.17133,1.17209,0.00013,-1.0,1.51,-1.51,73.79,SL
2025-09-10T08:08:00+00:00,buy,1.17153,1.17134,1.17211,0.00013,-1.0,1.48,-1.48,72.32,SL
2025-09-11T15:31:00+00:00,buy,1.17138,1.17021,1.17488,0.00078,-1.0,1.45,-1.45,70.87,SL
2025-09-11T15:32:00+00:00,buy,1.17107,1.16987,1.17466,0.0008,-1.0,1.42,-1.42,69.45,SL
2025-09-11T15:33:00+00:00,buy,1.17106,1.16986,1.17467,0.0008,-1.0,1.39,-1.39,68.07,SL
2025-09-11T15:35:00+00:00,buy,1.17197,1.17081,1.17545,0.00077,-1.0,1.36,-1.36,66.7,SL
2025-09-11T15:56:00+00:00,buy,1.17154,1.17052,1.17459,0.00068,3.0,1.33,4.0,70.71,TP
2025-09-11T16:02:00+00:00,buy,1.17222,1.17128,1.17503,0.00062,0.0,1.41,0.0,70.71,timeout
2025-09-11T16:03:00+00:00,buy,1.17349,1.17247,1.17656,0.00068,-1.0,1.41,-1.41,69.29,SL
2025-09-11T16:05:00+00:00,buy,1.17346,1.17243,1.17654,0.00069,-1.0,1.39,-1.39,67.91,SL
2025-09-12T09:50:00+00:00,buy,1.17337,1.17311,1.17416,0.00018,3.0,1.36,4.07,71.98,TP
2025-09-12T09:55:00+00:00,buy,1.17379,1.17351,1.17462,0.00019,3.0,1.44,4.32,76.3,TP
2025-09-12T09:56:00+00:00,buy,1.17385,1.17357,1.17468,0.00019,3.0,1.53,4.58,80.88,TP
2025-09-12T09:57:00+00:00,buy,1.17399,1.17371,1.17482,0.00019,-1.0,1.62,-1.62,79.26,SL
2025-09-12T10:00:00+00:00,buy,1.17426,1.17395,1.17519,0.00021,-1.0,1.59,-1.59,77.67,SL
2025-09-12T10:01:00+00:00,buy,1.17435,1.17404,1.17528,0.00021,-1.0,1.55,-1.55,76.12,SL
2025-09-12T10:02:00+00:00,buy,1.17463,1.17429,1.17564,0.00022,-1.0,1.52,-1.52,74.6,SL
