i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
15,2025-07-29T07:33:00+01:00,sell,1.15861,1.15876,1.15816,0.0001,3.0,TP,101.79,1.02,3.05,104.84
16,2025-07-29T07:34:00+01:00,sell,1.15864,1.15879,1.15819,0.0001,3.0,TP,104.84,1.05,3.15,107.99
17,2025-07-29T07:35:00+01:00,sell,1.15846,1.15862,1.15797,0.00011,3.0,TP,107.99,1.08,3.24,111.23
18,2025-07-29T07:36:00+01:00,sell,1.1582,1.15838,1.15765,0.00012,-1.0,SL,111.23,1.11,-1.11,110.12
19,2025-07-29T07:37:00+01:00,sell,1.15831,1.15851,1.15772,0.00013,-1.0,SL,110.12,1.1,-1.1,109.01
20,2025-07-29T07:38:00+01:00,sell,1.15816,1.15836,1.15756,0.00013,-1.0,SL,109.01,1.09,-1.09,107.92
21,2025-07-29T08:11:00+01:00,sell,1.15805,1.15823,1.15751,0.00012,3.0,TP,107.92,1.08,3.24,111.16
22,2025-07-29T08:13:00+01:00,sell,1.15802,1.15819,1.15751,0.00011,3.0,TP,111.16,1.11,3.33,114.5
23,2025-07-29T08:16:00+01:00,sell,1.1578,1.15798,1.15726,0.00012,-1.0,SL,114.5,1.14,-1.14,113.35
24,2025-07-29T08:17:00+01:00,sell,1.15758,1.15778,1.15699,0.00013,-1.0,SL,113.35,1.13,-1.13,112.22
25,2025-07-29T08:18:00+01:00,sell,1.15758,1.15779,1.15694,0.00014,-1.0,SL,112.22,1.12,-1.12,111.1
26,2025-07-29T08:19:00+01:00,sell,1.1576,1.15782,1.15695,0.00015,-1.0,SL,111.1,1.11,-1.11,109.98
27,2025-07-29T10:26:00+01:00,sell,1.15769,1.15799,1.1568,0.0002,3.0,TP,109.98,1.1,3.3,113.28
28,2025-07-29T10:28:00+01:00,sell,1.1576,1.15791,1.15667,0.00021,3.0,TP,113.28,1.13,3.4,116.68
29,2025-07-29T10:29:00+01:00,sell,1.1573,1.15762,1.15634,0.00021,3.0,TP,116.68,1.17,3.5,120.18
30,2025-07-29T10:30:00+01:00,sell,1.15708,1.1574,1.15611,0.00022,3.0,TP,120.18,1.2,3.61,123.79
31,2025-07-29T10:31:00+01:00,sell,1.15706,1.15737,1.15612,0.00021,3.0,TP,123.79,1.24,3.71,127.5
32,2025-07-29T10:33:00+01:00,sell,1.15646,1.15681,1.1554,0.00023,3.0,TP,127.5,1.28,3.83,131.33
33,2025-07-29T10:34:00+01:00,sell,1.15584,1.15628,1.15451,0.00029,-1.0,SL,131.33,1.31,-1.31,130.01
34,2025-07-29T10:35:00+01:00,sell,1.15571,1.15616,1.15437,0.0003,-1.0,SL,130.01,1.3,-1.3,128.71
35,2025-07-29T10:50:00+01:00,sell,1.15548,1.15597,1.15402,0.00033,3.0,TP,128.71,1.29,3.86,132.58
36,2025-07-29T10:55:00+01:00,sell,1.15428,1.15489,1.15244,0.00041,-1.0,SL,132.58,1.33,-1.33,131.25
37,2025-07-29T10:56:00+01:00,sell,1.15441,1.15502,1.15259,0.0004,-1.0,SL,131.25,1.31,-1.31,129.94
38,2025-07-29T10:57:00+01:00,sell,1.15348,1.15415,1.15147,0.00045,-1.0,SL,129.94,1.3,-1.3,128.64
