i,time_lagos,side,entry,sl,tp,atr,R,outcome
577,2025-09-08T10:12:00+01:00,buy,1.17207,1.1718,1.17287,0.00018,-1.0,SL
578,2025-09-08T10:13:00+01:00,buy,1.1722,1.17193,1.173,0.00018,-1.0,SL
579,2025-09-08T10:14:00+01:00,buy,1.17231,1.17205,1.1731,0.00018,-1.0,SL
580,2025-09-08T10:32:00+01:00,buy,1.17219,1.17186,1.17318,0.00022,-1.0,SL
581,2025-09-08T10:52:00+01:00,buy,1.17266,1.17231,1.17372,0.00024,-1.0,SL
582,2025-09-08T10:53:00+01:00,buy,1.17256,1.17221,1.1736,0.00023,-1.0,SL
583,2025-09-08T11:02:00+01:00,buy,1.17287,1.17253,1.1739,0.00023,-1.0,SL
584,2025-09-08T11:15:00+01:00,buy,1.17298,1.17263,1.17402,0.00023,-1.0,SL
585,2025-09-08T11:21:00+01:00,buy,1.17282,1.17247,1.17386,0.00023,-1.0,SL
586,2025-09-08T11:35:00+01:00,buy,1.17304,1.17274,1.17395,0.0002,3.0,TP
587,2025-09-08T11:36:00+01:00,buy,1.17308,1.17278,1.17397,0.0002,-1.0,SL
588,2025-09-08T11:45:00+01:00,buy,1.17325,1.17295,1.17415,0.0002,-1.0,SL
589,2025-09-08T12:00:00+01:00,buy,1.1737,1.17338,1.17465,0.00021,-1.0,SL
590,2025-09-08T12:01:00+01:00,buy,1.17377,1.17345,1.17473,0.00021,-1.0,SL
591,2025-09-08T12:02:00+01:00,buy,1.17381,1.1735,1.17475,0.00021,-1.0,SL
592,2025-09-08T12:03:00+01:00,buy,1.17407,1.17374,1.17507,0.00022,-1.0,SL
593,2025-09-08T12:04:00+01:00,buy,1.17418,1.17385,1.17518,0.00022,-1.0,SL
594,2025-09-08T17:09:00+01:00,buy,1.17457,1.1742,1.17567,0.00024,-1.0,SL
595,2025-09-08T17:10:00+01:00,buy,1.17466,1.1743,1.17574,0.00024,-1.0,SL
596,2025-09-08T17:11:00+01:00,buy,1.17481,1.17445,1.17588,0.00024,-1.0,SL
597,2025-09-08T17:13:00+01:00,buy,1.1752,1.17483,1.17631,0.00025,-1.0,SL
598,2025-09-08T17:36:00+01:00,buy,1.17544,1.17507,1.17656,0.00025,-1.0,SL
599,2025-09-08T22:51:00+01:00,buy,1.1756,1.1754,1.17619,0.00013,3.0,TP
600,2025-09-08T22:54:00+01:00,buy,1.17559,1.17538,1.17621,0.00014,3.0,TP
601,2025-09-08T22:55:00+01:00,buy,1.17587,1.17564,1.17655,0.00015,3.0,TP
602,2025-09-08T22:56:00+01:00,buy,1.17608,1.17582,1.17685,0.00017,-1.0,SL
603,2025-09-08T22:57:00+01:00,buy,1.17613,1.17586,1.17694,0.00018,-1.0,SL
604,2025-09-09T03:00:00+01:00,buy,1.1764,1.17626,1.17683,0.0001,3.0,TP
605,2025-09-09T03:01:00+01:00,buy,1.17646,1.17632,1.17689,0.0001,3.0,TP
606,2025-09-09T03:02:00+01:00,buy,1.17642,1.17628,1.17685,0.0001,3.0,TP
607,2025-09-09T03:03:00+01:00,buy,1.17649,1.17635,1.17691,9e-05,3.0,TP
608,2025-09-09T03:07:00+01:00,buy,1.17653,1.1764,1.17692,9e-05,3.0,TP
609,2025-09-09T03:11:00+01:00,buy,1.17669,1.17655,1.17711,9e-05,3.0,TP
610,2025-09-09T03:12:00+01:00,buy,1.17681,1.17666,1.17727,0.0001,-1.0,SL
611,2025-09-09T03:13:00+01:00,buy,1.17685,1.17669,1.17733,0.00011,-1.0,SL
612,2025-09-09T03:19:00+01:00,buy,1.1769,1.17674,1.17737,0.0001,-1.0,SL
613,2025-09-09T03:20:00+01:00,buy,1.17704,1.17687,1.17754,0.00011,-1.0,SL
614,2025-09-09T03:22:00+01:00,buy,1.17712,1.17694,1.17765,0.00012,-1.0,SL
615,2025-09-09T03:23:00+01:00,buy,1.17724,1.17705,1.1778,0.00012,-1.0,SL
616,2025-09-09T03:24:00+01:00,buy,1.17725,1.17707,1.17779,0.00012,-1.0,SL
617,2025-09-09T05:48:00+01:00,buy,1.17724,1.17705,1.1778,0.00012,-1.0,SL
618,2025-09-09T05:49:00+01:00,buy,1.17732,1.17713,1.17788,0.00012,-1.0,SL
619,2025-09-09T05:53:00+01:00,buy,1.1777,1.1775,1.1783,0.00013,-1.0,SL
620,2025-09-09T05:54:00+01:00,buy,1.17761,1.17741,1.17822,0.00013,-1.0,SL
621,2025-09-09T05:55:00+01:00,buy,1.17768,1.17748,1.17829,0.00014,-1.0,SL
622,2025-09-09T09:53:00+01:00,buy,1.17779,1.17759,1.1784,0.00014,-1.0,SL
623,2025-09-09T09:54:00+01:00,buy,1.17793,1.17771,1.17858,0.00015,-1.0,SL
624,2025-09-09T09:55:00+01:00,buy,1.17794,1.17772,1.1786,0.00015,-1.0,SL
625,2025-09-10T08:16:00+01:00,buy,1.17108,1.17094,1.17149,9e-05,-1.0,SL
626,2025-09-10T08:25:00+01:00,buy,1.1712,1.17106,1.17162,9e-05,-1.0,SL
627,2025-09-10T08:48:00+01:00,buy,1.17118,1.17104,1.17161,0.0001,-1.0,SL
628,2025-09-10T08:51:00+01:00,buy,1.17125,1.1711,1.1717,0.0001,-1.0,SL
629,2025-09-10T08:52:00+01:00,buy,1.17125,1.1711,1.1717,0.0001,-1.0,SL
630,2025-09-10T08:53:00+01:00,buy,1.17134,1.17118,1.17181,0.0001,-1.0,SL
631,2025-09-10T08:58:00+01:00,buy,1.17143,1.17128,1.17187,0.0001,-1.0,SL
632,2025-09-10T08:59:00+01:00,buy,1.17153,1.17138,1.17199,0.0001,-1.0,SL
633,2025-09-10T09:06:00+01:00,buy,1.17152,1.17133,1.17209,0.00013,-1.0,SL
634,2025-09-10T09:08:00+01:00,buy,1.17153,1.17134,1.17211,0.00013,-1.0,SL
635,2025-09-11T16:31:00+01:00,buy,1.17138,1.17021,1.17488,0.00078,-1.0,SL
636,2025-09-11T16:32:00+01:00,buy,1.17107,1.16987,1.17466,0.0008,-1.0,SL
637,2025-09-11T16:33:00+01:00,buy,1.17106,1.16986,1.17467,0.0008,-1.0,SL
638,2025-09-11T16:34:00+01:00,buy,1.17154,1.17036,1.17509,0.00079,-1.0,SL
639,2025-09-11T16:35:00+01:00,buy,1.17197,1.17081,1.17545,0.00077,-1.0,SL
640,2025-09-11T16:56:00+01:00,buy,1.17154,1.17052,1.17459,0.00068,3.0,TP
641,2025-09-11T16:57:00+01:00,buy,1.17157,1.17056,1.17459,0.00067,3.0,TP
642,2025-09-11T17:02:00+01:00,buy,1.17222,1.17128,1.17503,0.00062,0.0,timeout
643,2025-09-11T17:03:00+01:00,buy,1.17349,1.17247,1.17656,0.00068,-1.0,SL
644,2025-09-11T17:05:00+01:00,buy,1.17346,1.17243,1.17654,0.00069,-1.0,SL
645,2025-09-11T18:18:00+01:00,buy,1.17441,1.17392,1.17589,0.00033,-1.0,SL
