time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
2025-09-08T08:20:00+00:00,buy,1.17185,1.17166,1.17241,0.00012,3.0,2.0,6.0,106.0,TP
2025-09-08T10:02:00+00:00,buy,1.17287,1.17253,1.1739,0.00023,3.0,2.12,6.36,112.36,TP
2025-09-09T08:53:00+00:00,buy,1.17779,1.17759,1.1784,0.00014,0.0,2.25,0.0,112.36,BE
2025-09-10T07:16:00+00:00,buy,1.17108,1.17094,1.17149,9e-05,3.0,2.25,6.74,119.1,TP
2025-09-10T07:58:00+00:00,buy,1.17143,1.17128,1.17187,0.0001,0.0,2.38,0.0,119.1,BE
2025-09-11T15:31:00+00:00,buy,1.17138,1.17021,1.17488,0.00078,0.0,2.38,0.0,119.1,BE
2025-09-11T15:56:00+00:00,buy,1.17154,1.17052,1.17459,0.00068,3.0,2.38,7.15,126.25,TP
2025-09-12T09:50:00+00:00,buy,1.17337,1.17311,1.17416,0.00018,3.0,2.52,7.57,133.82,TP
