i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
1,2025-09-12T09:50:00+00:00,buy,1.17337,1.17311,1.17416,0.00018,3.0,TP,1.0,3.0,103.0
2,2025-09-12T09:55:00+00:00,buy,1.17379,1.17351,1.17462,0.00019,3.0,TP,1.03,3.09,106.09
3,2025-09-12T09:56:00+00:00,buy,1.17385,1.17357,1.17468,0.00019,3.0,TP,1.06,3.18,109.27
4,2025-09-12T09:57:00+00:00,buy,1.17399,1.17371,1.17482,0.00019,-1.0,SL,1.09,-1.09,108.18
5,2025-09-12T10:00:00+00:00,buy,1.17426,1.17395,1.17519,0.00021,-1.0,SL,1.08,-1.08,107.1
6,2025-09-12T10:01:00+00:00,buy,1.17435,1.17404,1.17528,0.00021,-1.0,SL,1.07,-1.07,106.03
7,2025-09-12T10:02:00+00:00,buy,1.17463,1.17429,1.17564,0.00022,-1.0,SL,1.06,-1.06,104.97
